,CB = 1,CB = 2,P value
Total (%),"59.3 (57.6, 61.0)","40.7 (39.0, 42.4)",
Countries (%),,,
England,"83.0 (80.7, 85.0)","85.2 (82.8, 87.3)",0.171
Northern Ireland,"3.1 (2.4, 4.1)","2.2 (1.7, 3.0)",
Scotland,"8.8 (7.1, 10.9)","8.1 (6.3, 10.3)",
Wales,"5.1 (4.2, 6.3)","4.5 (3.5, 5.7)",
Age (years),"46.9 (46.0, 47.9)","50.2 (49.2, 51.1)",< 0.001
Sex (%),,,
Men,"47.2 (45.0, 49.4)","50.6 (48.0, 53.2)",0.044
Women,"52.8 (50.6, 55.0)","49.4 (46.8, 52.0)",
Survey years (%),,,
1,"12.8 (10.5, 15.5)","15.2 (12.3, 18.5)",0.192
2,"12.1 (9.9, 14.7)","12.2 (9.7, 15.3)",
3,"12.4 (10.0, 15.2)","10.2 (8.1, 12.7)",
4,"13.3 (10.9, 16.1)","11.6 (9.3, 14.3)",
5,"12.8 (10.5, 15.5)","14.1 (11.4, 17.3)",
6,"11.9 (9.8, 14.3)","11.4 (9.2, 14.1)",
7,"12.7 (10.4, 15.4)",12.8 (10.3 15.7),
8,"12.0 (10.0, 14.5)","12.6 (10.2, 15.5)",
BMI (kg/m^2),"27.2 (26.9, 27.5)","27.7 (27.4, 27.9)",0.034
WC (cm),"92.6 (91.9, 93.3)","93.9 (92.9, 94.8)",0.033
Smoking status (%),,,
Current,"20.5 (18.8, 22.2)","22.1 (19.9, 22.5)",< 0.001
Ex-smoker,"22.4 (20.6, 24.3)","27.2 (24.9, 29.5)",
Never,"57.2 (55.0, 59.4)","50.8 (48.2, 53.4)",
Current drinking status (%),,,
Yes,"24.6 (22.6, 26.6)","11.1 (9.7, 12.7)",< 0.001
Hypertension (%),,,
Yes,"27.7 (25.2, 30.3)","31.3 (28.4, 34.4)",0.065
Total energy intake (KJ),"7371.5 (7273.2, 7469.8)","8102.9 (7958.6, 8247.2)",< 0.001
Carbohydrate intake (g),"226.9 (223.6, 230.2)","211.6 (207.7, 215.4)",< 0.001
Carbohydrate percent (%),"48.8 (48.5, 49.1)","41.4 (41.0, 41.8)",< 0.001
Glucose (mmol/l),"5.14 (5.09, 5.18)","5.15 (5.11, 5.20)",0.706
A1C (%),"5.49 (5.47, 5.52)","5.48 (5.44, 5.50)",0.29
DM,"4.2 (3.1, 5.5)","5.5 (4.1, 7.3)",0.158
